cluster_rep	name_	member_ids	locus	assembly	n_members	n_chromosomes	n_plasmids	virus_percent	product	avg_iso	phylum	species	mean_length	percent_cas13
WP_002642813.1	[]	['WP_002642813.1']	['aca3']	['GCF_002951835.1_ASM295183v1']	1	1.0	0.0	0.0	['hypothetical protein']	9.69537353515625	['b-proteobacteria']	['Simonsiella']	135.0	0.0
WP_060613671.1	[]	['WP_060613671.1']	['aca4']	['GCF_001449085.1_ASM144908v1']	1	1.0	0.0	0.0	['hypothetical protein']	7.62139892578125	['g-proteobacteria']	['Pseudomonas']	321.0	0.0
WP_013541028.1	[]	['WP_013541028.1']	['aca4']	['GCF_000184745.1_ASM18474v1']	1	1.0	0.0	0.0	['hypothetical protein']	5.76934814453125	['b-proteobacteria']	['Variovorax']	93.0	0.0
WP_004884232.1	[]	['WP_019725083.1', 'WP_004884232.1', 'WP_009483890.1']	['AcrIE8_1', 'AcrIE8_2', 'aca5']	['GCF_002591075.1_ASM259107v1', 'GCF_002811335.3_ASM281133v4', 'GCF_002848605.1_ASM284860v1', 'GCF_002970375.3_ASM297037v3', 'GCF_003031345.1_ASM303134v1', 'GCF_003194285.1_ASM319428v1', 'GCF_005944305.1_ASM594430v1']	21	1.0	0.0	0.0	['YlcG family protein']	11.099809919084821	['enterobacteria']	['Klebsiella']	46.0	0.0
WP_045326719.1	[]	['WP_038435082.1', 'WP_045326719.1']	['AcrIE8_1', 'AcrIE8_2', 'aca5']	['GCF_000785005.1_ASM78500v1', 'GCF_001746535.1_ASM174653v1', 'GCF_001952875.1_ASM195287v1', 'GCF_002591075.1_ASM259107v1', 'GCF_002811335.3_ASM281133v4', 'GCF_002848605.1_ASM284860v1', 'GCF_003031345.1_ASM303134v1', 'GCF_003194285.1_ASM319428v1', 'GCF_005944305.1_ASM594430v1']	27	1.0	0.0	0.0	['hypothetical protein']	8.84918212890625	['enterobacteria']	['Klebsiella']	125.33333333333333	0.0
WP_060816019.1	[]	['WP_060816019.1']	['AcrIF17_1', 'AcrIF17_2', 'aca5']	['GCF_002208985.1_ASM220898v3', 'GCF_002393245.1_ASM239324v1', 'GCF_002947675.1_ASM294767v1']	9	1.0	0.0	0.0	['hypothetical protein']	10.75311279296875	['enterobacteria']	['Citrobacter']	75.0	0.0
NP_666631.1	[]	['NP_666584.1', 'NP_666631.1']	['AcrIIIB1', 'acaID1']	['GCF_000845065.1_ViralProj14514', 'GCF_000857285.1_ViralProj15191']	3	0.0	0.0	1.0	['hypothetical protein']	4.45172119140625	['viruses']	['Sulfolobus']	74.33333333333333	0.0
YP_009362562.1	[]	['YP_009362685.1', 'YP_009362790.1', 'YP_009362562.1']	['acaID1']	['GCF_002158715.1_ViralProj387744', 'GCF_002158755.1_ViralProj387737', 'GCF_002158795.1_ViralProj387745']	3	0.0	0.0	1.0	['hypothetical protein']	4.208964029947917	['viruses']	['Sulfolobus']	63.0	0.0
YP_009362548.1	[]	['YP_009362966.1', 'YP_009362660.1', 'YP_009362828.1', 'YP_009362778.1', 'YP_009362911.1', 'YP_009362603.1', 'YP_009362548.1']	['AcrIIIB1', 'acaID1']	['GCF_002158595.1_ViralProj387746', 'GCF_002158615.1_ViralProj387750', 'GCF_002158675.1_ViralProj387747', 'GCF_002158715.1_ViralProj387744', 'GCF_002158735.1_ViralProj387748', 'GCF_002158755.1_ViralProj387737', 'GCF_002158815.1_ViralProj387749']	8	0.0	0.0	1.0	['hypothetical protein']	6.7349090576171875	['viruses']	['Sulfolobus']	184.25	0.0
WP_046701304.1	['AcrIC1']	['WP_046701304.1']	['AcrIC1', 'AcrVA1', 'AcrVA2', 'AcrVA3']	['GCF_000988605.1_ASM98860v1']	4	1.0	0.0	0.0	['hypothetical protein']	4.16583251953125	['g-proteobacteria']	['Moraxella']	190.0	0.0
WP_039198157.1	['AcrIC5']	['WP_012802672.1', 'WP_039198157.1']	['AcrIC5']	['GCF_000023845.1_ASM2384v1', 'GCF_000800455.1_ASM80045v1']	2	1.0	0.0	0.0	['hypothetical protein']	4.240234375	['actinobacteria', 'high GC Gram+']	['Bifidobacterium', 'Cryptobacterium']	63.0	0.0
WP_011629294.1	[]	['WP_011629294.1']	['AcrIC6']	['GCF_000014785.1_ASM1478v1']	1	1.0	0.0	0.0	['dihydroxy-acid dehydratase']	5.17987060546875	['g-proteobacteria']	['Alkalilimnicola']	563.0	0.0
WP_087616257.1	[]	['WP_138827798.1', 'WP_087616257.1', 'WP_071889015.1']	['AcrIE8_1', 'AcrIE8_2']	['GCF_000785005.1_ASM78500v1', 'GCF_001746535.1_ASM174653v1', 'GCF_001952875.1_ASM195287v1', 'GCF_002591075.1_ASM259107v1', 'GCF_002811335.3_ASM281133v4', 'GCF_002848605.1_ASM284860v1', 'GCF_003031345.1_ASM303134v1', 'GCF_003194285.1_ASM319428v1', 'GCF_005944305.1_ASM594430v1']	18	1.0	0.0	0.0	['Rz1 lytic protein']	5.822245279947917	['enterobacteria']	['Klebsiella']	88.0	0.0
WP_023131919.1	['AcrIE1']	['WP_023131919.1', 'WP_003158159.1', 'WP_123906480.1', 'YP_007392738.1']	['AcrIE1', 'AcrIF12', 'AcrIF3', 'AcrIF5', 'aca1', 'aca4']	['GCF_000496455.2_ASM49645v2', 'GCF_000510305.1_ASM51030v1', 'GCF_000829885.1_ASM82988v1', 'GCF_000905735.1_ViralProj188543', 'GCF_001515915.2_ASM151591v2', 'GCF_001516205.2_ASM151620v2', 'GCF_001516225.2_ASM151622v2', 'GCF_001516345.1_ASM151634v1', 'GCF_001542835.1_ASM154283v1', 'GCF_001547955.1_ASM154795v1', 'GCF_001618925.1_ASM161892v1', 'GCF_001687285.1_ASM168728v1', 'GCF_001750705.1_ASM175070v1', 'GCF_001792875.1_ASM179287v1', 'GCF_002208645.1_ASM220864v1', 'GCF_002237405.1_ASM223740v1', 'GCF_002237425.1_ASM223742v1', 'GCF_002287725.2_ASM228772v2', 'GCF_002812825.1_ASM281282v1', 'GCF_002812845.1_ASM281284v1', 'GCF_002812865.1_ASM281286v1', 'GCF_002812885.1_ASM281288v1', 'GCF_002843285.1_ASM284328v1', 'GCF_002968585.1_ASM296858v1', 'GCF_002968695.1_ASM296869v1', 'GCF_003028335.1_ASM302833v1', 'GCF_003073795.1_ASM307379v1', 'GCF_003073895.1_ASM307389v1', 'GCF_003194245.1_ASM319424v1', 'GCF_003206535.1_ASM320653v1', 'GCF_003319235.1_ASM331923v1', 'GCF_003411785.2_ASM341178v2', 'GCF_003798105.1_ASM379810v1', 'GCF_003812165.1_ASM381216v1', 'GCF_006364795.1_ASM636479v1', 'GCF_900243355.1_RW109', 'GCF_900636735.1_43941_C01', 'GCF_900636755.1_43941_E01', 'GCF_901472545.1_36340_E01', 'GCF_901472595.1_36340_C01']	125	0.872	0.096	0.032	['hypothetical protein']	5.06458154296875	['g-proteobacteria', 'viruses']	['Pseudomonas']	105.64	0.0
WP_000357540.1	[]	['WP_000357540.1']	['AcrIF11']	['GCF_004919145.1_ASM491914v1']	1	1.0	0.0	0.0	['MFS transporter']	9.07281494140625	['enterobacteria']	['Salmonella']	468.0	0.0
WP_049862779.1	['AcrIF11']	['WP_049862779.1']	['AcrIF11']	['GCF_000750315.1_ASM75031v1']	1	1.0	0.0	0.0	['hypothetical protein']	4.18719482421875	['enterobacteria']	['Yersinia']	124.0	0.0
WP_012914793.1	[]	['WP_012914793.1']	['AcrIF12']	['GCF_000087965.2_ASM8796v1']	1	1.0	0.0	0.0	['hypothetical protein']	5.86407470703125	['g-proteobacteria']	['Xanthomonas']	272.0	0.0
WP_081570073.1	[]	['WP_081570073.1']	['AcrIF14']	['GCF_002080125.1_ASM208012v1']	1	0.0	1.0	0.0	['hypothetical protein']	4.81536865234375	['g-proteobacteria']	['Moraxella']	180.0	0.0
WP_012016422.1	[]	['WP_012016422.1']	['AcrIF15']	['GCF_000016325.1_ASM1632v1']	1	1.0	0.0	0.0	['HNH endonuclease']	8.69036865234375	['enterobacteria']	['Enterobacter']	122.0	0.0
WP_001311047.1	[]	['WP_001311047.1']	['AcrIF22']	['GCF_004322995.1_ASM432299v1']	1	0.0	1.0	0.0	['hypothetical protein']	10.28106689453125	['enterobacteria']	['Klebsiella']	74.0	0.0
